epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,497.372,0.82198,1.13752,0.72762,0.87535,0.93702,0.80423,0.92296,0.63221,0.92788,0.78378,0.90041,0.66099,1.00286,1.20875,0.95503,0.93316,0.0014258,0.0014258,0.0014258
31,514.037,0.83008,1.21423,0.72567,0.89362,0.90645,0.78562,0.90499,0.60927,0.93475,0.7973,0.91826,0.64232,1.04063,1.30201,0.8641,0.93708,0.001406,0.001406,0.001406
32,530.832,0.82632,1.18422,0.71668,0.88652,0.95477,0.8559,0.96076,0.67041,0.96985,0.86941,0.95879,0.6936,0.94123,1.18918,0.77895,0.91237,0.0013862,0.0013862,0.0013862
33,547.488,0.82485,1.20612,0.70495,0.88155,0.94325,0.89842,0.95591,0.66303,0.92906,0.8849,0.93417,0.68965,0.94223,1.26992,0.79602,0.91122,0.0013664,0.0013664,0.0013664
34,563.135,0.77165,1.0685,0.66224,0.88601,0.89971,0.82432,0.90526,0.612,0.92289,0.83784,0.89978,0.64048,1.05712,1.30494,0.87725,0.99497,0.0013466,0.0013466,0.0013466
35,580.435,0.90014,1.2323,0.72281,0.91035,0.87099,0.83784,0.89663,0.60694,0.88504,0.85135,0.91415,0.62519,1.02732,1.32338,0.87766,0.98583,0.0013268,0.0013268,0.0013268
36,597.522,0.84232,1.16207,0.67524,0.89297,0.88843,0.75333,0.8581,0.59448,0.9041,0.76448,0.86853,0.61059,1.01588,1.40535,0.97178,0.96391,0.001307,0.001307,0.001307
37,614.314,0.86371,1.17256,0.70624,0.89933,0.87656,0.76769,0.85454,0.57973,0.93621,0.74324,0.8523,0.6123,1.07588,1.4489,1.0459,0.96891,0.0012872,0.0012872,0.0012872
38,630.479,0.80824,1.11183,0.67012,0.87462,0.91812,0.89189,0.94177,0.69371,0.91956,0.92698,0.94262,0.67484,0.8916,1.14986,0.70819,0.91352,0.0012674,0.0012674,0.0012674
39,647.468,0.78376,1.06767,0.62393,0.873,0.92183,0.90541,0.94421,0.64873,0.94935,0.93243,0.96828,0.70699,0.98493,1.16664,0.69234,0.92752,0.0012476,0.0012476,0.0012476
40,664.618,0.82621,1.18767,0.64411,0.88119,0.98545,0.91503,0.95494,0.66037,0.98545,0.91503,0.95494,0.6869,0.91533,1.25199,0.65937,0.90979,0.0012278,0.0012278,0.0012278
41,681.802,0.79724,1.09755,0.62598,0.87565,0.91018,0.95853,0.96356,0.66314,0.91018,0.95853,0.95968,0.67658,0.96738,1.36375,0.66997,0.93553,0.001208,0.001208,0.001208
42,698.454,0.79988,1.17562,0.63848,0.87239,0.93108,0.91283,0.94536,0.65283,0.94486,0.92635,0.95468,0.68979,0.9229,1.12828,0.65952,0.9125,0.0011882,0.0011882,0.0011882
43,714.923,0.76664,1.11058,0.60862,0.86919,0.94164,0.87222,0.918,0.6255,0.94986,0.89189,0.92699,0.68949,1.02639,1.15482,0.65891,0.94542,0.0011684,0.0011684,0.0011684
44,731.466,0.75382,1.09293,0.58885,0.86367,0.95076,0.78273,0.85638,0.57682,0.92206,0.79941,0.87914,0.62739,1.01055,1.29763,0.81247,0.9645,0.0011486,0.0011486,0.0011486
45,747.692,0.7478,1.06843,0.57507,0.86387,0.9077,0.72973,0.78245,0.55417,0.96572,0.76152,0.87425,0.61707,0.98972,1.31083,0.79515,0.95826,0.0011288,0.0011288,0.0011288
46,764.2,0.75036,1.0343,0.57713,0.86874,0.99615,0.75676,0.85936,0.62497,0.99615,0.75676,0.8784,0.6416,0.90411,1.2311,0.80111,0.93129,0.001109,0.001109,0.001109
47,780.478,0.73886,1.0569,0.57832,0.8702,0.95298,0.82166,0.89969,0.62267,0.96706,0.85135,0.91269,0.68254,1.04207,1.19817,0.72104,0.95618,0.0010892,0.0010892,0.0010892
48,797.435,0.75602,1.11635,0.59203,0.87342,0.93829,0.85135,0.90975,0.63186,0.96945,0.87838,0.92901,0.68076,0.9217,1.1494,0.62239,0.92793,0.0010694,0.0010694,0.0010694
49,813.844,0.73139,1.00676,0.55243,0.8653,0.94356,0.89189,0.91454,0.64515,0.97713,0.93243,0.95107,0.69759,1.02268,1.1571,0.61867,0.94943,0.0010496,0.0010496,0.0010496
50,830.218,0.71281,1.04326,0.5367,0.85715,0.95614,0.88392,0.91324,0.64107,0.94153,0.87041,0.90186,0.65026,0.94657,1.32425,0.68344,0.93318,0.0010298,0.0010298,0.0010298
51,846.719,0.77652,1.11276,0.57475,0.87245,0.9713,0.91476,0.94944,0.66339,0.98565,0.92827,0.96386,0.67163,0.90902,1.18926,0.60223,0.91345,0.00101,0.00101,0.00101
52,863.088,0.74617,1.06994,0.55872,0.85944,0.94995,0.91892,0.95163,0.70145,0.94141,0.93243,0.95393,0.69886,0.87859,1.03426,0.541,0.91346,0.0009902,0.0009902,0.0009902
53,879.899,0.74592,1.08314,0.55091,0.87014,0.94341,0.93243,0.96081,0.69625,0.91593,0.90541,0.93399,0.66624,0.89829,1.06512,0.53364,0.91645,0.0009704,0.0009704,0.0009704
54,896.441,0.7921,1.15651,0.56797,0.87733,0.9676,0.91892,0.95683,0.66324,0.98183,0.93243,0.95756,0.70645,0.99021,1.06637,0.55037,0.93153,0.0009506,0.0009506,0.0009506
55,912.129,0.78696,1.07032,0.54452,0.87073,0.98538,0.91111,0.94259,0.66173,0.9906,0.89189,0.96543,0.69513,0.89947,1.10346,0.53554,0.91929,0.0009308,0.0009308,0.0009308
56,929.456,0.74657,1.07668,0.55412,0.87551,0.98358,0.90541,0.9168,0.61516,0.99927,0.91892,0.94306,0.65365,1.02998,1.30191,0.57097,0.96534,0.000911,0.000911,0.000911
57,947.096,0.76807,1.1183,0.57675,0.87806,0.95953,0.93243,0.97298,0.70247,0.97344,0.94595,0.98498,0.72336,0.88543,1.05175,0.54158,0.90932,0.0008912,0.0008912,0.0008912
58,963.737,0.78321,1.21679,0.57308,0.88126,1,0.87763,0.95323,0.6643,0.98461,0.86456,0.95191,0.67754,0.93395,1.11648,0.58852,0.93184,0.0008714,0.0008714,0.0008714
59,980.04,0.71306,1.08755,0.5413,0.864,0.9768,0.93243,0.97827,0.68787,0.96264,0.91892,0.97438,0.69177,0.90688,1.09932,0.55624,0.92481,0.0008516,0.0008516,0.0008516
60,996.605,0.69016,1.01264,0.51099,0.86164,1,0.91872,0.93787,0.67677,0.99089,0.93243,0.96093,0.69808,0.85951,1.0536,0.49623,0.92014,0.0008318,0.0008318,0.0008318
61,1012.69,0.73146,1.13302,0.53845,0.85421,0.98564,0.92771,0.94607,0.66994,0.98564,0.92771,0.95393,0.69749,0.86704,1.07324,0.51852,0.91795,0.000812,0.000812,0.000812
62,1028.59,0.70908,0.94235,0.51045,0.85211,0.97249,0.94595,0.97715,0.68985,0.95813,0.93243,0.96762,0.70173,0.83037,1.08677,0.52444,0.90657,0.0007922,0.0007922,0.0007922
63,1045.07,0.70861,1.14841,0.52945,0.86298,0.96618,0.90541,0.96189,0.71691,0.93546,0.90541,0.9568,0.70378,0.80751,1.02219,0.50768,0.89945,0.0007724,0.0007724,0.0007724
64,1061.05,0.66877,0.92678,0.4965,0.83369,0.96655,0.90541,0.96411,0.71146,0.96655,0.90541,0.97299,0.71739,0.89467,1.08537,0.51734,0.91414,0.0007526,0.0007526,0.0007526
