epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,279.121,0.88314,0.58026,0.9331,0.94899,0.9375,0.96147,0.79081,0.87606,0.51209,0.94054,0.00132868,0.00132868,0.00132868
43,285.512,0.89815,0.56865,0.93597,0.94463,0.93554,0.95447,0.77187,0.91934,0.52542,0.94486,0.00132043,0.00132043,0.00132043
44,291.974,0.87476,0.58492,0.92894,0.94831,0.94219,0.96962,0.79154,0.86736,0.48675,0.9252,0.00131218,0.00131218,0.00131218
45,298.482,0.83344,0.54756,0.92191,0.97418,0.92917,0.97075,0.80144,0.86408,0.48164,0.92619,0.00130393,0.00130393,0.00130393
46,304.359,0.83098,0.5584,0.9242,0.95332,0.92188,0.94488,0.75325,0.97483,0.50932,0.96104,0.00129568,0.00129568,0.00129568
47,311.047,0.77864,0.51692,0.91545,0.97383,0.91406,0.94722,0.79195,0.89876,0.48428,0.94373,0.00128742,0.00128742,0.00128742
48,317.016,0.79531,0.51838,0.92003,0.93007,0.93543,0.95925,0.78613,0.86963,0.48129,0.93892,0.00127917,0.00127917,0.00127917
49,323.768,0.80208,0.54059,0.9232,0.92586,0.94531,0.95476,0.74446,0.93272,0.5317,0.96056,0.00127092,0.00127092,0.00127092
50,330.017,0.77593,0.51116,0.91805,0.98364,0.91975,0.9636,0.76928,0.90144,0.46222,0.94587,0.00126267,0.00126267,0.00126267
51,336.88,0.78248,0.51639,0.90811,0.98304,0.9375,0.96472,0.77473,0.86518,0.47169,0.93135,0.00125442,0.00125442,0.00125442
52,343.113,0.78271,0.51016,0.90403,0.92523,0.95525,0.97549,0.78311,0.86565,0.47543,0.9345,0.00124617,0.00124617,0.00124617
53,349.731,0.79454,0.50798,0.91972,0.95702,0.93009,0.97098,0.7679,0.88976,0.47667,0.94038,0.00123791,0.00123791,0.00123791
54,356.006,0.78179,0.49319,0.9027,0.95099,0.96846,0.96299,0.78668,0.84774,0.44818,0.92549,0.00122966,0.00122966,0.00122966
55,363.114,0.79056,0.49497,0.92514,0.93397,0.96094,0.95692,0.77231,0.90931,0.48406,0.94205,0.00122141,0.00122141,0.00122141
56,369.185,0.74686,0.49021,0.89594,0.96321,0.91406,0.94531,0.77214,0.85292,0.48597,0.9421,0.00121316,0.00121316,0.00121316
57,375.898,0.80213,0.49204,0.90428,0.93755,0.95244,0.95526,0.76854,0.89763,0.48859,0.95458,0.00120491,0.00120491,0.00120491
58,382.113,0.77676,0.48174,0.90427,0.9668,0.94649,0.95928,0.75617,0.95768,0.51869,0.97683,0.00119666,0.00119666,0.00119666
59,388.782,0.76288,0.48278,0.90905,0.92888,0.92682,0.9649,0.78165,0.87084,0.49332,0.95083,0.0011884,0.0011884,0.0011884
60,395.625,0.75576,0.4707,0.90516,0.96561,0.93068,0.96888,0.79295,0.85493,0.45635,0.93852,0.00118015,0.00118015,0.00118015
61,402.071,0.76103,0.47589,0.90517,0.96351,0.71908,0.83722,0.67975,0.92437,0.74268,0.97912,0.0011719,0.0011719,0.0011719
62,408.286,0.7532,0.47206,0.90424,0.95859,0.66354,0.74303,0.59875,1.0109,1.03223,1.04476,0.00116365,0.00116365,0.00116365
63,414.584,0.73826,0.45717,0.9032,0.95418,0.83208,0.95081,0.74265,0.92276,0.54109,0.94889,0.0011554,0.0011554,0.0011554
64,420.544,0.74689,0.45873,0.89549,0.94773,0.9375,0.97689,0.79418,0.86185,0.43918,0.92548,0.00114715,0.00114715,0.00114715
65,427.483,0.74486,0.46643,0.89379,0.93739,0.97405,0.97397,0.79698,0.85495,0.4382,0.92437,0.00113889,0.00113889,0.00113889
66,433.14,0.74728,0.44704,0.90156,0.93602,0.96745,0.96683,0.79177,0.87011,0.42956,0.93609,0.00113064,0.00113064,0.00113064
67,440.354,0.76424,0.45652,0.90385,0.94325,0.97491,0.97147,0.79433,0.86778,0.42603,0.9322,0.00112239,0.00112239,0.00112239
68,446.089,0.74706,0.44913,0.89183,0.94508,0.95446,0.97151,0.79058,0.86478,0.42766,0.94254,0.00111414,0.00111414,0.00111414
69,453.496,0.72342,0.445,0.88961,0.93222,0.96364,0.9797,0.78955,0.84534,0.42006,0.92412,0.00110589,0.00110589,0.00110589
70,459.218,0.7309,0.4464,0.89073,0.95378,0.96875,0.97957,0.80576,0.87927,0.43635,0.93172,0.00109764,0.00109764,0.00109764
71,466.378,0.73078,0.45005,0.89219,0.96691,0.95691,0.96885,0.78306,0.87427,0.44582,0.93967,0.00108938,0.00108938,0.00108938
72,472.48,0.75027,0.45524,0.89368,0.94274,0.96875,0.97221,0.79728,0.86844,0.41915,0.93183,0.00108113,0.00108113,0.00108113
73,479.25,0.74837,0.45615,0.9039,0.93655,0.99219,0.98524,0.80707,0.86522,0.42028,0.94077,0.00107288,0.00107288,0.00107288
74,485.257,0.71554,0.4419,0.87993,0.94586,0.91927,0.9758,0.80034,0.83574,0.43232,0.9209,0.00106463,0.00106463,0.00106463
75,491.708,0.70803,0.43521,0.89032,0.93151,0.97656,0.97768,0.78415,0.89238,0.43144,0.95003,0.00105638,0.00105638,0.00105638
76,497.982,0.73726,0.44753,0.90301,0.96571,0.93399,0.96087,0.78358,0.86141,0.41558,0.93719,0.00104813,0.00104813,0.00104813
77,505.016,0.75553,0.46018,0.90882,0.94296,0.96875,0.96858,0.78608,0.88041,0.42482,0.94384,0.00103987,0.00103987,0.00103987
78,511.168,0.70685,0.42358,0.89362,0.94625,0.93423,0.96226,0.78214,0.8962,0.42257,0.93757,0.00103162,0.00103162,0.00103162
79,517.624,0.72759,0.43765,0.88892,0.93582,0.97656,0.97497,0.79465,0.89118,0.41362,0.9425,0.00102337,0.00102337,0.00102337
80,523.301,0.73001,0.436,0.90191,0.93848,0.97431,0.97718,0.77801,0.89003,0.40437,0.95102,0.00101512,0.00101512,0.00101512
81,530.339,0.70175,0.42837,0.89156,0.93873,0.97379,0.9776,0.7925,0.88601,0.40969,0.94527,0.00100687,0.00100687,0.00100687
82,536.952,0.68843,0.41416,0.87805,0.9264,0.97521,0.97253,0.7743,0.93132,0.41691,0.95865,0.000998616,0.000998616,0.000998616
83,543.4,0.68076,0.41449,0.8812,0.97313,0.94013,0.97906,0.78955,0.90076,0.42156,0.95618,0.000990365,0.000990365,0.000990365
84,549.271,0.67126,0.40918,0.87541,0.96058,0.94989,0.97936,0.79941,0.90286,0.42517,0.96862,0.000982113,0.000982113,0.000982113
85,556.293,0.67256,0.41789,0.88896,0.9555,0.97501,0.98568,0.79484,0.90678,0.41547,0.9591,0.000973861,0.000973861,0.000973861
86,562.674,0.70094,0.41687,0.89309,0.98622,0.99214,0.995,0.80459,0.89572,0.41013,0.95053,0.00096561,0.00096561,0.00096561
87,569.095,0.69784,0.41632,0.8968,0.97752,0.97656,0.97913,0.78934,0.88813,0.42354,0.94446,0.000957358,0.000957358,0.000957358
88,575.576,0.66328,0.39885,0.86747,0.97615,0.99219,0.99189,0.79813,0.85062,0.41392,0.94273,0.000949106,0.000949106,0.000949106
89,582.254,0.69176,0.41293,0.89494,0.96123,0.98189,0.98824,0.80567,0.81956,0.40763,0.92482,0.000940855,0.000940855,0.000940855
90,589.218,0.71122,0.41235,0.88539,0.96369,0.97943,0.98881,0.8067,0.82899,0.39788,0.92162,0.000932603,0.000932603,0.000932603
91,595.519,0.6984,0.41321,0.88841,0.96062,0.98157,0.9842,0.78768,0.89035,0.40978,0.94147,0.000924352,0.000924352,0.000924352
92,601.199,0.67693,0.40335,0.87846,0.96309,0.99219,0.98951,0.78862,0.87975,0.41186,0.93381,0.0009161,0.0009161,0.0009161
93,607.679,0.67464,0.40304,0.88642,0.974,0.96875,0.98026,0.79045,0.89203,0.41004,0.9354,0.000907848,0.000907848,0.000907848
94,613.465,0.68253,0.40304,0.86818,0.9396,0.96875,0.97511,0.77721,0.8956,0.42374,0.94331,0.000899597,0.000899597,0.000899597
95,620.55,0.68249,0.40942,0.87702,0.94539,0.96875,0.97336,0.77607,0.89536,0.43053,0.93776,0.000891345,0.000891345,0.000891345
96,626.389,0.66435,0.40583,0.87346,0.96435,0.98145,0.97952,0.80129,0.85748,0.40234,0.92381,0.000883093,0.000883093,0.000883093
97,632.77,0.7014,0.41895,0.90263,0.96059,0.97656,0.97342,0.78273,0.88845,0.41812,0.93634,0.000874842,0.000874842,0.000874842
98,639.409,0.67971,0.40688,0.87341,0.94513,0.96875,0.97087,0.78981,0.92953,0.44356,0.95568,0.00086659,0.00086659,0.00086659
99,645.528,0.66942,0.40227,0.8772,0.9604,0.96094,0.97712,0.78762,0.92829,0.43985,0.95029,0.000858338,0.000858338,0.000858338
100,652.172,0.67739,0.40939,0.87754,0.96452,0.98438,0.97917,0.80343,0.90638,0.41727,0.9412,0.000850087,0.000850087,0.000850087
101,658.661,0.6914,0.40482,0.88972,0.96429,0.98438,0.98585,0.79598,0.86947,0.41189,0.92771,0.000841835,0.000841835,0.000841835
